,neighbours_conn,center_conn,close_nodes_ratio,spath_length_avg,ind_dif_avg,spath_ind_dif,ind_spath_ratio,sel_nodes_ratio,cnfname
0,0.11186015710994704,0.10343962321332324,0.9920403682121444,14,63661,63647,4547,0.5,sc14-app_train_preprocessed/partial-10-11-s_preprocessed.cnf
0,0.0999364824993176,0.22464886505167336,0.7089201877934272,2,404,402,202,0.5,sc14-app_train_preprocessed/rbcl_xits_08_UNSAT_preprocessed.cnf
0,0.07629247493510558,0.07942591093908734,0.999852556305061,8,17860,17852,2232,0.5,sc14-app_train_preprocessed/minxor128_preprocessed.cnf
0,0.11180124472125434,0.11205856227468666,0.990589733611632,7,18798,18791,2685,0.5,sc14-app_train_preprocessed/atco_enc2_opt1_05_21_preprocessed.cnf
0,0.13225162559093834,0.10654023339984203,1.0,20,46240,46220,2312,0.5,sc14-app_train_preprocessed/pb_300_10_lb_07_preprocessed.cnf
0,0.1157528170127135,0.09347929761886606,0.9982425307557118,6,2595,2589,432,0.5,sc14-app_train_preprocessed/MD5-27-4_preprocessed.cnf
0,0.10413873738990284,0.10490501626324937,0.9800053319114904,5,2514,2509,502,0.5,sc14-app_train_preprocessed/AProVE07-01_preprocessed.cnf
0,0.1263956907784125,0.11315212345326126,0.9998508353221957,4,4398,4394,1099,0.5,sc14-app_train_preprocessed/002-80-12_preprocessed.cnf
0,0.11473251520271024,0.09259949266729693,0.9983095870562666,6,2839,2833,473,0.5,sc14-app_train_preprocessed/MD5-28-1_preprocessed.cnf
0,0.11208776709402797,0.08477556629394532,0.972206625491297,6,33709,33703,5618,0.5,sc14-app_train_preprocessed/aaai10-planning-ipc5-TPP-21-step11_preprocessed.cnf
0,0.11087596653078399,0.10403270762255694,0.9942607119646306,14,72894,72880,5206,0.5,sc14-app_train_preprocessed/partial-5-15-s_preprocessed.cnf
0,0.1007900156628107,0.1167951538264066,0.99881321289642,2,50474,50472,25237,0.5,sc14-app_train_preprocessed/velev-vliw-uns-2.0-uq5_preprocessed.cnf
0,0.1263956907784125,0.11315212345326126,0.9998508353221957,4,4537,4533,1134,0.5,sc14-app_train_preprocessed/005-80-12_preprocessed.cnf
0,0.1312611905591488,0.1273905353684909,0.9766111425568044,27,32722,32695,1211,0.5,sc14-app_train_preprocessed/hwmcc10-timeframe-expansion-k45-pdtpmsgoodbakery-tseitin_preprocessed.cnf
0,0.12792690949383814,0.1194227356259284,0.9916202518942244,13,66208,66195,5092,0.5,sc14-app_train_preprocessed/UR-15-10p0_preprocessed.cnf
0,0.1322696271729605,0.104648670791363,0.9966725941764945,26,61033,61007,2347,0.5,sc14-app_train_preprocessed/hwmcc10-timeframe-expansion-k50-pdtvisns3p00-tseitin_preprocessed.cnf
0,0.11482180017776247,0.09383783758613656,0.9991323210412149,6,3126,3120,521,0.5,sc14-app_train_preprocessed/MD5-31-5_preprocessed.cnf
0,0.1263956907784125,0.11315212345326126,0.9998508353221957,4,4244,4240,1061,0.5,sc14-app_train_preprocessed/004-80-8_preprocessed.cnf
0,0.1099586316650427,0.14567377880126142,0.9971482347573148,2,11696,11694,5848,0.5,sc14-app_train_preprocessed/8pipe_k_preprocessed.cnf
0,0.1443520660613565,0.1635142543859648,1.0,1,125,124,125,0.5,sc14-app_train_preprocessed/stable-400-0.1-12-98765432140012_preprocessed.cnf
0,0.13015403152135058,0.12304837539646207,0.9916633584755856,15,28671,28656,1911,0.5,sc14-app_train_preprocessed/6s153_preprocessed.cnf
0,0.1263956907784125,0.11315212345326126,0.9998508353221957,4,4482,4478,1120,0.5,sc14-app_train_preprocessed/007-80-8_preprocessed.cnf
0,0.09626883219904253,0.06199932415564929,0.9962121212121212,4,155,151,38,0.5,sc14-app_train_preprocessed/aes_32_2_keyfind_1_preprocessed.cnf
0,0.10998679617348826,0.09481803030118313,0.9261860174781524,9,8492,8483,943,0.5,sc14-app_train_preprocessed/aaai10-planning-ipc5-pathways-13-step17_preprocessed.cnf
0,0.10819767332775647,0.09471800925307086,0.9227892915390428,10,16920,16910,1692,0.5,sc14-app_train_preprocessed/aaai10-planning-ipc5-pathways-17-step20_preprocessed.cnf
0,0.12916022106857028,0.12299355993240732,0.9996191346739792,8,8415,8407,1051,0.5,sc14-app_train_preprocessed/bob12m02-opt_preprocessed.cnf
0,0.12706327029411973,0.12055250681213965,0.9902501949961,15,66266,66251,4417,0.5,sc14-app_train_preprocessed/UCG-15-10p1_preprocessed.cnf
0,0.1263956907784125,0.11315212345326126,0.9998508353221957,4,4495,4491,1123,0.5,sc14-app_train_preprocessed/007-80-12_preprocessed.cnf
0,0.13975921707373834,0.15396686509774868,0.9190578974098528,7,10290,10283,1470,0.5,sc14-app_train_preprocessed/gss-20-s100_preprocessed.cnf
0,0.13059809100906308,0.1436034591123817,0.9514012061014544,6,1931,1925,321,0.5,sc14-app_train_preprocessed/6s168-opt_preprocessed.cnf
0,0.1263956907784125,0.11315212345326126,0.9998508353221957,4,4518,4514,1129,0.5,sc14-app_train_preprocessed/008-80-8_preprocessed.cnf
0,0.10215479215913573,0.0996489866420116,1.0,1,323,322,323,0.5,sc14-app_train_preprocessed/complete-400-0.1-3-9876543214003_preprocessed.cnf
0,0.1270527316361124,0.12109808623021663,0.9893060012623008,15,75074,75059,5004,0.5,sc14-app_train_preprocessed/UCG-20-5p1_preprocessed.cnf
0,0.10029922985410077,0.11592323854764268,0.998302111041938,2,35313,35311,17656,0.5,sc14-app_train_preprocessed/9dlx_vliw_at_b_iq4_preprocessed.cnf
0,0.11156751787656537,0.10541819926050074,0.9930962873719921,14,84676,84662,6048,0.5,sc14-app_train_preprocessed/partial-5-17-s_preprocessed.cnf
0,0.1448901683322169,0.16237179900505322,1.0,1,309,308,309,0.5,sc14-app_train_preprocessed/vmpc_29_preprocessed.cnf
0,0.09877433439338572,0.18076808808051864,0.7927927927927928,2,773,771,386,0.5,sc14-app_train_preprocessed/rbcl_xits_14_SAT_preprocessed.cnf
0,0.12034288611121972,0.21973496204430126,0.8447112706566813,4,10863,10859,2715,0.5,sc14-app_train_preprocessed/q_query_3_l45_lambda_preprocessed.cnf
0,0.08345354850457097,0.08429847017199213,0.9949924572577942,11,31860,31849,2896,0.5,sc14-app_train_preprocessed/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_3.025-NOTKNOWN_preprocessed.cnf
0,0.132887119096952,0.1157548303742087,0.9717912552891396,6,951,945,158,0.5,sc14-app_train_preprocessed/dimacs_preprocessed.cnf
0,0.11409177511819465,0.09311679034240414,0.9990689013035382,6,2871,2865,478,0.5,sc14-app_train_preprocessed/MD5-29-5_preprocessed.cnf
0,0.14436401478465696,0.16232502425435014,1.0,1,109,108,109,0.5,sc14-app_train_preprocessed/stable-300-0.1-20-98765432130020_preprocessed.cnf
0,0.1018944489057414,0.09932562163392547,1.0,1,330,329,330,0.5,sc14-app_train_preprocessed/complete-500-0.1-1-9876543215001_preprocessed.cnf
0,0.10420214404836804,0.09867314269281813,0.9910615276050944,8,20012,20004,2501,0.5,sc14-app_train_preprocessed/atco_enc1_opt1_05_21_preprocessed.cnf
0,0.13915223505060298,0.15317869353845842,0.9194554014505664,7,10691,10684,1527,0.5,sc14-app_train_preprocessed/gss-19-s100_preprocessed.cnf
0,0.1263627873402321,0.11888726854802438,1.0,5,1178,1173,235,0.5,sc14-app_train_preprocessed/6s165-nonopt_preprocessed.cnf
0,0.07930755705710417,0.034572473982391154,1.0,4,171,167,42,0.5,sc14-app_train_preprocessed/aes_24_4_keyfind_5_preprocessed.cnf
0,0.14434517073265005,0.1651027255639097,1.0,1,118,117,118,0.5,sc14-app_train_preprocessed/stable-400-0.1-2-9876543214002_preprocessed.cnf
0,0.12558421313915455,0.12082691919132267,0.990341970379682,66,74928,74862,1135,0.5,sc14-app_train_preprocessed/UTI-20-5p1_preprocessed.cnf
0,0.13605493873161578,0.12353794452442535,0.9910266414000668,29,11812,11783,407,0.5,sc14-app_train_preprocessed/6s151_preprocessed.cnf
0,0.1263956907784125,0.11315212345326126,0.9998508353221957,4,4576,4572,1144,0.5,sc14-app_train_preprocessed/002-80-4_preprocessed.cnf
0,0.12964676108869902,0.12995445008139322,0.9953172205438068,6,4417,4411,736,0.5,sc14-app_train_preprocessed/maxxor032_preprocessed.cnf
0,0.11354976362713545,0.09064024427452698,0.999034049746438,6,2854,2848,475,0.5,sc14-app_train_preprocessed/MD5-28-4_preprocessed.cnf
0,0.11102311751718208,0.1027599885636256,0.9922725986702504,14,75220,75206,5372,0.5,sc14-app_train_preprocessed/total-10-13-u_preprocessed.cnf
0,0.11930856716057615,0.12133497859402778,0.9717514124293786,4,228,224,57,0.5,sc14-app_train_preprocessed/aes_32_3_keyfind_1_preprocessed.cnf
0,0.11493091913582212,0.09194502937081699,0.9995970089105808,7,44732,44725,6390,0.5,sc14-app_train_preprocessed/c10bi_i_preprocessed.cnf
0,0.12659110544563626,0.12025861907963002,0.9891808346213292,16,86206,86190,5387,0.5,sc14-app_train_preprocessed/UCG-20-10p0_preprocessed.cnf
